phi,strategy,mean,std
0.01,random,1.0,0.0
0.11888888888888888,random,0.8051745481554841,0.022326015039186155
0.22777777777777777,random,0.036073285466699676,0.061814459110805166
0.33666666666666667,random,0.0101015102748205,0.00018527642420272084
0.44555555555555554,random,0.010596682347115622,0.0012711559943543883
0.5544444444444444,random,0.009903441445902451,0.0
0.6633333333333333,random,0.010695716761574648,0.0012903009874518825
0.7722222222222221,random,0.010076751671205744,0.0005199306759098785
0.8811111111111111,random,0.01022530329289428,0.0007007165980730333
0.99,random,0.009903441445902451,0.0
0.01,high_degree,1.0,0.0
0.11888888888888888,high_degree,0.993810349096311,1.1102230246251565e-16
0.22777777777777777,high_degree,0.660807130477841,0.0
0.33666666666666667,high_degree,0.0505075513741025,6.938893903907228e-18
0.44555555555555554,high_degree,0.04530824461500371,0.0
0.5544444444444444,high_degree,0.02327308739787076,0.0
0.6633333333333333,high_degree,0.02327308739787076,0.0
0.7722222222222221,high_degree,0.023025501361723204,3.469446951953614e-18
0.8811111111111111,high_degree,0.023025501361723204,3.469446951953614e-18
0.99,high_degree,0.023025501361723204,3.469446951953614e-18
0.01,high_kcore,1.0,0.0
0.11888888888888888,high_kcore,0.993810349096311,1.1102230246251565e-16
0.22777777777777777,high_kcore,0.07650408516959642,1.3877787807814457e-17
0.33666666666666667,high_kcore,0.012874473879673188,1.734723475976807e-18
0.44555555555555554,high_kcore,0.012626887843525624,1.734723475976807e-18
0.5544444444444444,high_kcore,0.011884129735082943,1.734723475976807e-18
0.6633333333333333,high_kcore,0.011884129735082943,1.734723475976807e-18
0.7722222222222221,high_kcore,0.01163654369893538,0.0
0.8811111111111111,high_kcore,0.01163654369893538,0.0
0.99,high_kcore,0.01163654369893538,0.0
